Name,Post date,Post time,Likes,Comment,Share,Save,Reached,Engaged,Profile activity,From Home,From Profile,From Other,From Hashtag,From Explore,Profile visits,Follows,Link taps,Type
Where does inspiration come from,2021/02/02,7:02,33,1,0,10,78,6,1,0,84,6,0,0,1,0,0,composing
Basic composing equipments,2021/02/04,23:03,24,0,0,6,78,9,2,0,89,4,0,0,2,0,0,tech
How to read score,2021/02/06,1:03,22,1,0,6,73,4,0,0,83,4,0,0,0,0,0,composing
Hoo to write music,2021/02/07,3:32,23,1,0,26,84,11,5,0,79,18,4,0,3,2,0,composing
Music analysis,2021/02/08,5:40,18,0,0,11,70,7,0,0,73,8,0,0,0,0,0,composing
Envelope,2021/02/09,4:00,16,0,0,9,57,5,2,0,59,2,3,0,2,0,0,tech
How to build your style,2021/02/10,5:00,25,0,0,11,59,8,0,0,61,8,2,0,0,0,0,survival guide
Mickey mousing,2021/02/11,0:02:00,16,0,0,3,58,2,1,0,61,4,0,0,1,0,0,composing
Difference of Film and Game scores,2021/02/11,23:00,13,0,0,3,55,1,0,0,64,0,0,0,0,0,0,composing
Ear training 1 - pitch,2021/02/13,3:00,20,0,0,15,65,7,0,0,65,10,2,0,0,0,0,composing
Basic of synth,2021/02/14,3:00,17,0,0,16,63,9,6,0,58,10,4,0,3,3,0,tech
Ear training 2 - frequency,2021/02/15,7:00,11,0,0,118,79,3,4,0,60,29,1,0,4,0,0,tech
Habit as your job,2021/02/16,4:00,28,0,0,7,45,5,0,0,47,4,0,0,0,0,0,survival guide
Intro to Leitmotif,2021/02/17,5:02,12,0,0,1,37,1,0,0,44,0,0,0,0,0,0,composing
String writing technique,2021/02/22,3:07,22,0,0,4,46,4,0,0,49,4,0,0,0,0,0,composing
Should I learn music theory,2021/02/19,7:00,26,0,0,6,46,2,0,0,50,1,0,0,0,0,0,composing
Other jobs in film scoring,2021/02/20,4:00,25,0,0,4,47,0,1,0,53,1,0,0,1,0,0,survival guide
Live up your MIDI,2021/02/21,3:00,18,0,0,15,48,6,0,0,50,7,0,0,0,0,0,composing
Works beside composing,2021/02/22,7:00,22,0,0,7,40,2,0,0,43,0,2,0,0,0,0,survival guide
Minimalism music,2021/02/23,4:00,28,4,0,8,34,4,0,0,33,3,1,0,0,0,0,composing
Income sources,2021/02/24,5:01,23,0,0,1,29,0,0,0,32,1,0,0,0,0,0,survival guide
Minor scale,2021/02/25,0:08,18,0,0,7,30,2,0,0,33,0,1,0,0,0,0,composing
Woodwinds instruments,2021/02/25,23:00,18,2,0,2,28,2,0,0,29,0,2,0,0,0,0,composing
Major scale,2021/02/27,1:13,15,0,0,6,23,3,0,0,23,0,0,0,0,0,0,composing
Brass instruments,2021/02/28,0:15,20,0,0,2,25,0,0,0,23,2,0,0,0,0,0,composing
Pantatonic scale,2021/03/01,4:17,25,0,0,6,23,5,0,0,19,3,1,0,0,0,0,composing
Percussion instruments,2021/03/02,4:19,21,0,0,0,22,1,1,0,24,2,0,0,1,0,0,composing
Blues scale,2021/03/03,5:21,20,0,0,7,23,2,0,0,22,4,1,0,0,0,0,composing
String intruments,2021/03/03,13:05,17,0,0,0,28,1,0,0,32,0,0,0,0,0,0,composing
Why should we learn orchestration,2021/03/05,2:00,35,2,0,11,33,3,0,0,32,3,4,0,0,0,0,composing
Film analysis,2021/03/06,1:09,24,2,0,3,29,1,0,0,35,1,0,0,0,0,0,about film
Build your own brand - networking,2021/03/07,2:50,23,2,1,8,30,7,0,0,30,2,1,0,0,0,0,survival guide
Should I build my website,2021/03/08,6:54,28,0,1,9,29,4,0,0,26,3,4,0,0,0,0,survival guide
Should I do project for free,2021/03/09,5:56,34,0,0,1,26,0,0,0,26,2,1,0,0,0,0,survival guide
Giving value,2021/03/10,4:59,28,2,0,1,24,0,0,0,25,1,1,0,0,0,0,survival guide
Chromatic median chord 1,2021/03/11,0:01,33,3,0,13,44,3,10,0,19,12,16,0,6,3,1,composing
Build you portfolio,2021/03/11,23:28,27,5,0,12,28,3,0,0,28,5,0,0,0,0,0,survival guide
Music editor,2021/03/13,1:01,27,1,0,5,27,1,0,0,29,0,3,0,0,0,0,survival guide
Show reel,2021/03/14,4:33,27,0,0,3,71,1,8,0,34,45,3,0,7,0,1,survival guide
Chromatic median chord 2,2021/03/15,8:00,32,0,0,8,41,1,0,0,37,8,0,0,0,0,0,composing
English ability,2021/03/16,3:36,27,0,0,0,36,0,0,0,38,1,0,0,0,0,0,survival guide
What is source music,2021/03/17,6:38,26,0,0,3,40,0,0,0,41,1,3,0,0,0,0,about film
Orchestrator job,2021/03/18,1:10,30,0,0,1,31,0,0,0,31,0,3,0,0,0,0,survival guide
Spotting session,2021/03/19,23:54,24,4,0,2,24,0,0,0,27,1,1,0,0,0,0,survival guide
John Williams,2021/03/20,3:56,23,3,0,1,28,1,0,0,31,3,0,0,0,0,0,intro to composer
Finding jobs on social network,2021/03/21,4:15,31,0,0,14,26,4,0,0,28,3,0,0,0,0,0,survival guide
Aleatoric Music,2021/03/22,6:00,26,0,0,0,23,0,0,0,27,1,0,0,0,0,0,composing
VCV Modular Synth,2021/03/23,5:00,26,0,0,10,34,5,0,0,29,3,5,0,0,0,0,tech
Major minor 7 chord,2021/03/24,6:01,25,0,0,4,25,2,0,0,26,0,0,0,0,0,0,composing
Temp track,2021/03/25,1:02,28,0,0,0,21,0,1,0,19,3,0,0,1,0,0,survival guide
Ways to build your brand,2021/03/26,4:06,30,0,0,4,36,1,0,0,39,0,6,0,0,0,0,survival guide
Scoring schools in the US,2021/03/27,7:12,28,2,0,6,38,4,1,0,49,4,2,0,1,0,0,study aboard
Johann Johannsson,2021/03/28,6:15,25,0,0,5,32,1,0,0,45,21,0,0,0,0,0,intro to composer
Scoring from different perspectives,2021/03/29,4:18,28,1,0,2,19,0,0,0,22,0,0,0,0,0,0,composing
Film noir,2021/03/30,5:55,20,0,0,1,28,1,0,0,29,0,2,0,0,0,0,about film
Mode scales,2021/03/31,4:58,34,2,0,19,39,4,0,0,44,1,1,0,0,0,0,composing
Why music career is hard,2021/04/01,5:01,42,1,0,7,43,3,3,0,46,4,1,0,1,1,1,survival guide
What is Cyberpunk,2021/04/02,7:04,29,0,0,1,34,1,0,0,37,0,1,0,0,0,0,about film
Movie - Psycho,2021/04/03,7:07,17,1,0,1,22,2,0,0,24,0,0,0,0,0,0,about film
Secondary Dominant Chord,2021/04/04,6:09,23,0,0,5,35,3,1,0,38,1,1,0,1,0,0,composing
Practice composing everyday,2021/04/05,7:12,29,5,0,10,35,2,1,0,36,3,0,0,1,0,0,composing
Thomas Newman,2021/04/06,6:13,23,2,0,0,40,0,0,0,35,7,3,0,0,0,0,intro to composer
Library Music,2021/04/07,7:16,26,3,1,8,20,3,1,0,21,1,2,0,1,0,0,survival guide
Last of Us,2021/04/08,6:18,26,0,0,2,23,0,0,0,28,0,0,0,0,0,0,game music
Musical layers,2021/04/09,7:21,26,0,0,5,36,3,0,0,40,0,0,0,0,0,0,composing
How I got game music cases,2021/04/10,7:22,33,2,0,8,35,4,0,0,38,0,0,0,0,0,0,survival guide
Blade Runner,2021/04/11,7:00,18,0,0,0,42,0,0,0,38,2,6,0,0,0,0,about film
iPad music apps,2021/04/12,6:27,36,3,0,19,55,8,3,0,36,21,4,0,2,1,0,tech
Michael Giacchino,2021/04/13,5:16,27,0,0,4,40,2,0,0,44,13,0,0,0,0,0,intro to composer
Arrival,2021/04/14,6:00,32,2,0,2,76,4,4,0,17,35,30,0,3,1,0,about film
German Expression,2021/04/15,1:22,25,0,0,3,24,1,1,0,21,2,2,0,1,0,0,about film
How to price your game music,2021/04/16,7:00,29,4,0,11,28,3,0,0,24,8,2,0,0,0,0,survival guide
What is sample rate,2021/04/17,2:00,35,0,0,3,28,1,0,0,28,0,1,0,0,0,0,tech
Drone music,2021/04/18,4:30,31,3,0,6,35,3,0,0,29,8,4,0,0,0,0,composing
Find my musical niche,2021/04/19,7:33,31,2,0,11,26,3,3,0,23,4,1,0,3,0,0,survival guide
Bernard Herrmann,2021/04/20,5:01,27,0,0,0,19,0,1,0,18,0,2,0,1,0,0,intro to composer
Movie - Sicario,2021/04/21,6:00,19,0,0,1,34,1,0,0,21,3,13,0,0,0,0,about film
Twitter and game music,2021/04/22,0:55,29,1,1,15,28,4,1,0,26,6,1,0,1,0,0,survival guide
Periods of Classical music,2021/04/23,5:00,29,4,0,3,24,1,0,0,27,0,0,0,0,0,0,composing
Prepare your contract,2021/04/24,2:00,32,2,0,15,23,3,0,0,19,4,3,0,0,0,0,survival guide
Action film history,2021/04/25,3:47,21,0,0,2,26,1,0,0,28,0,1,0,0,0,0,about film
Find tempo for score,2021/04/26,8:00,33,6,0,14,29,5,0,0,33,2,1,0,0,0,0,composing
Hildur Gudnadottir,2021/04/27,5:00,23,2,0,1,33,0,0,0,33,7,0,0,0,0,0,intro to composer
Breaking Bad,2021/04/28,5:54,33,1,0,6,89,3,0,0,23,48,23,0,0,0,0,about film
Chromatic Median 3 ,2021/04/29,1:00,28,0,0,13,38,1,0,0,27,12,2,0,0,0,0,composing
Which kind of free projects I can do,2021/04/30,0:30,22,6,0,6,28,1,0,0,26,1,3,0,0,0,0,survival guide
Use social media to find your customer,2021/05/01,2:00,27,0,0,5,20,3,0,0,27,3,1,0,0,0,0,survival guide
Vangelis,2021/05/02,5:01,26,0,0,3,20,0,0,0,20,0,0,0,0,0,0,intro to composer
Serialism music,2021/05/03,7:08,28,2,0,7,27,2,0,0,27,2,1,0,0,0,0,composing
Movie - Up,2021/05/04,5:10,28,3,0,3,34,2,1,0,33,5,2,0,1,0,0,about film
How to use Music Pack,2021/05/04,21:12,25,1,0,8,48,1,0,0,37,4,15,0,0,0,0,survival guide
From assistant to composer,2021/05/05,20:30,27,2,0,2,41,3,1,0,38,12,4,0,1,0,0,survival guide
A day of a composer,2021/05/07,0:01,33,3,1,5,42,4,0,0,41,5,1,0,0,0,0,survival guide
What is Jazz standard,2021/05/08,2:18,33,2,0,8,33,2,1,0,29,4,1,0,1,0,0,composing
Define a successful composer,2021/05/09,4:20,36,0,0,2,30,0,0,0,30,0,1,0,0,0,0,survival guide
Howard Shore,2021/05/10,5:00,27,0,0,1,36,0,0,0,35,0,5,0,0,0,0,intro to composer
How to read lead sheet,2021/05/11,5:00,31,0,0,6,42,4,4,0,44,4,0,0,4,0,0,composing
Good composer steals,2021/05/12,6:00,43,1,0,7,46,1,6,0,48,4,2,0,4,2,0,composing
Movie - The Grand Budapest Hotel,2021/05/13,0:57,26,0,0,4,114,4,1,0,36,77,9,0,1,0,0,about film
Extended Chords,2021/05/14,2:02,29,0,0,9,34,2,0,0,37,0,0,0,0,0,0,composing
In house vs Freelance,2021/05/15,4:03,26,0,0,5,38,0,0,0,38,3,4,0,0,0,0,survival guide
Hans Zimmer,2021/05/16,5:06,33,0,0,5,98,4,3,0,33,33,41,0,1,2,0,intro to composer
Lesson from helping others,2021/05/17,7:09,34,1,0,1,26,0,0,0,25,0,3,0,0,0,0,survival guide
Game audio engines,2021/05/18,6:10,29,4,0,4,22,1,0,0,21,1,1,0,0,0,0,tech
Movie - Schindler's List,2021/05/19,6:12,31,0,0,7,54,6,2,0,22,2,34,0,2,0,0,about film
Music forms,2021/05/20,1:14,31,2,0,6,33,2,2,0,27,6,7,0,0,2,0,composing
3 follows to find customers,2021/05/21,0:16,26,0,0,4,27,1,0,0,24,3,2,0,0,0,0,survival guide
Alexandre Desplat,2021/05/22,2:00,37,1,0,4,62,2,0,0,34,1,30,0,0,0,0,intro to composer
Synthwave,2021/05/23,4:20,31,0,0,5,36,2,0,0,35,1,1,0,0,0,0,composing
How much to record orchestra in Hollywood,2021/05/24,8:00,32,2,0,2,26,0,0,0,27,0,0,0,0,0,0,survival guide
Film - Cowboy Bebop,2021/05/25,5:28,28,2,0,5,59,3,1,0,26,21,16,0,1,0,0,about film
How royalty works,2021/05/26,6:00,25,0,0,11,28,4,0,0,21,7,4,0,0,0,0,survival guide
Marco Beltrami,2021/05/27,1:31,25,0,0,2,26,0,0,0,26,0,1,0,0,0,0,intro to composer
First time on conductor podiumn,2021/05/28,2:05,25,3,0,0,31,1,0,0,33,0,1,0,0,0,0,music life
PRO,2021/05/29,4:07,34,2,0,13,33,3,1,0,31,4,0,0,1,0,0,survival guide
Movie - 3:10 to Yuma,2021/05/30,5:10,20,2,0,3,25,0,0,0,25,2,0,0,0,0,0,about film
There's no bad score,2021/05/31,6:12,43,1,0,4,39,1,0,0,41,1,1,0,0,0,0,music life
Ryuichi Sakamoto,2021/06/01,3:14,45,2,0,10,40,2,1,0,45,2,0,0,1,0,0,intro to composer
How network will surprises you,2021/06/02,6:16,36,1,0,5,63,1,0,0,66,1,1,0,0,0,0,survival guide
Is it hard to write orchestral music,2021/06/03,4:01,39,7,0,3,58,1,0,0,60,1,4,0,0,0,0,composing
Music - On The Nature of Daylight,2021/06/04,1:21,21,0,0,5,72,0,0,0,76,0,3,0,0,0,0,composing
How to find chord,2021/06/05,2:00,41,0,0,21,94,6,1,0,65,3,34,0,1,0,0,composing
Max Richter,2021/06/06,2:00,35,0,0,6,56,1,0,0,64,0,2,0,0,0,0,intro to composer
Curriculum in film scoring school,2021/06/07,4:29,58,15,0,18,38,2,0,0,44,3,0,0,0,0,0,study aboard
Score vs Culture,2021/06/08,5:05,52,9,0,9,41,1,0,0,55,0,0,0,0,0,0,composing
How to apply for US film scoring schools,2021/06/09,4:08,49,1,1,13,47,6,1,0,56,6,0,0,1,0,0,study aboard
Movie - Howl's Moving Castle,2021/06/10,5:11,45,0,0,8,56,1,0,0,66,1,0,0,0,0,0,about film
Joe Hisaishi,2021/06/11,2:13,64,0,0,7,58,4,1,0,61,4,0,0,1,0,0,intro to composer
What to do if I'm not studying in composing program,2021/06/12,2:00,71,4,0,13,66,4,3,0,62,6,3,0,3,0,0,music life
Rejection is our everyday life,2021/06/13,4:00,51,0,0,7,64,1,0,0,73,1,0,0,0,0,0,survival guide
Book recommandation,2021/06/14,7:00,84,16,0,60,72,13,1,0,55,25,0,0,1,0,0,music life
How to make game sound,2021/06/15,6:00,48,2,0,5,62,1,0,0,62,1,4,0,0,0,0,game music
Movie - TENET,2021/06/16,4:27,61,3,0,9,62,3,0,0,59,2,4,0,0,0,0,about film
How I started film scoring,2021/06/17,1:50,74,8,0,9,60,3,2,0,64,1,2,0,2,0,0,study aboard
Ludwig Goransson,2021/06/18,2:00,35,4,0,2,65,1,0,0,59,0,14,0,0,0,0,intro to composer
Ways to receive your salary,2021/06/19,2:00,34,0,0,8,38,3,0,0,40,1,2,0,0,0,0,survival guide
Podcast: SCORE,2021/06/20,3:58,50,4,0,16,56,3,0,0,47,3,10,0,0,0,0,music life
How to find internship,2021/06/21,7:01,47,0,0,21,48,5,5,0,39,8,2,0,4,1,0,survival guide
Mindset for internship,2021/06/22,5:04,53,1,0,4,41,0,1,0,41,3,3,0,1,0,0,survival guide
Justin Hurwitz,2021/06/23,4:05,51,3,0,5,105,0,0,0,32,7,73,0,0,0,0,intro to composer
Movie - Cinema Paradiso,2021/06/24,1:08,39,2,1,4,53,3,1,0,36,1,20,0,1,0,0,about film
Being fired is part of a composer's life,2021/06/25,2:10,60,3,0,6,33,0,0,0,37,1,3,0,0,0,0,survival guide
Sound world,2021/06/26,5:02,60,0,0,8,22,0,0,0,23,0,0,0,0,0,0,composing
Trent Reznor & Atticus Ross,2021/06/27,4:06,36,2,0,3,33,0,0,0,34,1,0,0,0,0,0,intro to composer
What did I learn in this path,2021/06/28,6:09,103,7,0,28,72,1,1,0,63,5,9,0,1,0,0,music life
Spitfire LABS,2021/06/29,5:11,69,2,0,58,72,11,1,0,67,8,3,0,1,0,0,tech
Ennio Morricone,2021/06/30,4:13,60,6,0,9,71,3,0,0,72,1,0,0,0,0,0,intro to composer
Which DAW do the famous composers use,2021/07/01,1:15,78,5,1,22,71,6,2,0,62,12,2,0,1,1,0,tech
Film - Attack on Titan,2021/07/03,2:00,64,6,0,5,63,0,0,0,64,5,0,0,0,0,0,about film
Back to listen after a while,2021/07/05,6:20,103,2,0,18,64,1,0,0,58,5,9,0,0,0,0,music life
Build your instruments,2021/07/07,5:22,84,5,0,17,54,1,0,9,53,2,3,0,0,0,0,tech
Junkie XL,2021/07/09,2:25,53,2,0,8,40,0,0,0,42,0,1,0,0,0,0,intro to composer
Film - Queen's Gembit,2021/07/11,4:30,62,2,1,6,44,2,1,0,43,2,0,0,1,0,0,about film
How to get into the industry,2021/07/13,6:33,75,6,0,35,49,6,1,0,49,1,3,0,1,0,0,survival guide
Newman family,2021/07/15,2:37,54,4,0,5,51,0,0,0,55,0,2,0,0,0,0,intro to composer
Learn the rules in order to break them,2021/07/17,2:39,96,1,0,20,47,2,0,0,44,4,1,0,0,0,0,music life
Movie - Shape of Water,2021/07/19,6:41,60,2,0,15,53,1,0,0,39,8,8,0,0,0,0,about film
James Newton Howard,2021/07/21,5:00,53,2,0,12,50,0,0,0,42,2,10,0,0,0,0,intro to composer
IMDb is important,2021/07/23,1:00,54,0,0,18,35,2,0,0,36,3,0,0,0,0,0,survival guide
Joann Kane,2021/07/25,4:00,58,0,0,9,38,1,0,0,32,3,5,0,0,0,0,music life
Music - Be Our Guest,2021/07/27,6:00,45,1,0,3,23,0,0,0,21,0,2,0,0,0,0,composing
Alan Menken,2021/07/29,2:00,47,0,0,6,38,0,0,0,39,0,0,0,0,0,0,intro to composer
How to show your portfolio,2021/07/31,2:05,68,3,0,23,46,2,0,0,44,5,1,0,0,0,0,survival guide
Why Mad Max don't make you dizzy,2021/08/02,6:07,75,1,0,8,64,1,0,0,62,3,1,0,0,0,0,about film
App recommandation: Notion,2021/08/04,5:09,86,7,0,28,262,5,12,0,57,91,133,0,9,2,1,music life
Danny Elfman,2021/08/06,1:11,71,7,0,8,73,3,3,0,61,19,5,0,3,0,0,intro to composer
Your music reflect your inside,2021/08/08,3:57,99,3,0,21,43,1,0,0,44,4,1,0,0,0,0,music life
Movie - Soul,2021/08/10,3:44,75,2,1,11,42,5,0,0,46,5,0,0,0,0,0,about film
Do I need a agent,2021/08/12,1:30,64,0,0,11,52,0,2,0,55,3,1,0,2,0,0,survival guide
Time Blocking,2021/08/14,2:00,94,6,0,27,66,1,1,0,60,9,6,0,1,0,0,music life
A day of a film scoring student,2021/08/16,7:58,111,5,2,23,70,6,5,0,67,7,8,0,4,1,0,study aboard
Alan Silvestri,2021/08/18,4:08,68,2,0,6,51,1,2,0,51,2,4,0,1,1,0,intro to composer
Luck does involve,2021/08/20,2:01,89,4,0,16,36,1,0,0,39,5,0,0,0,0,0,survival guide
About studying aboard,2021/08/22,4:00,73,0,0,10,33,1,0,0,42,1,0,0,0,0,0,study aboard
How to deal critique,2021/08/24,6:48,70,4,0,13,31,0,0,0,40,0,1,0,0,0,0,survival guide
John Ottman,2021/08/26,1:51,56,2,0,7,57,0,1,0,55,2,8,0,1,0,0,intro to composer
Build your instrument template,2021/08/28,1:55,102,10,0,49,83,6,0,0,63,25,4,0,0,0,0,tech
Stay on your stage,2021/08/30,7:00,128,10,0,41,84,2,0,0,84,3,5,0,0,0,0,survival guide
Score softwares,2021/09/01,4:00,112,5,0,61,93,8,0,0,70,13,18,0,0,0,0,tech
Michael Abels,2021/09/05,3:55,75,0,0,9,55,1,0,0,59,0,1,0,0,0,0,intro to composer
Learn how to NOT put music,2021/09/07,6:01,94,2,0,22,42,0,1,0,43,2,3,0,1,0,0,composing
Jason Graves,2021/09/09,1:03,70,0,0,10,63,0,0,0,68,1,1,0,0,0,0,intro to composer
Find a real job?,2021/09/11,2:06,125,0,0,28,73,3,3,0,71,4,12,0,2,1,0,survival guide
How to use music to make comedy funnier,2021/09/13,6:09,70,2,0,12,66,0,1,0,74,2,0,0,1,0,0,composing
Vienna Ensemble Pro,2021/09/15,4:11,81,3,0,44,60,6,3,0,54,10,7,0,1,2,0,tech
Henry Mancini,2021/09/17,1:13,68,0,0,11,47,1,1,0,54,1,0,0,1,0,0,intro to composer
UNCSA school life,2021/09/19,4:00,66,1,1,16,49,1,0,0,49,9,3,0,0,0,0,study aboard
Work life balance,2021/09/21,6:00,222,2,0,76,77,4,2,0,55,21,17,0,2,0,0,music life
How to use compressor,2021/09/23,2:04,150,11,0,51,71,7,2,0,60,11,15,0,2,0,0,tech
